"df_names","df_long","df_lat"
"PTT gas station.","102.5409297","13.6600192"
"Gas station","102.3808556","13.724168"
"Gas station","102.201592","13.6487089"
"Gas Station","102.4567537","13.8778006"
"Gas station","102.4909797","13.7275745"
"Gas station","102.2747838","13.6348941"
"Gas station","102.2491367","13.5693417"
"Gas station","102.1708425","13.514348"
"Gas station","102.0764252","13.6681298"
"Gas station","102.5727115","13.7280886"
"Gas station","102.3109047","13.6590039"
"Gas station","102.1428003","13.5745657"
"Gas station","102.357722","13.585046"
"Gas station","102.2296923","13.5990257"
"Gas station","102.2638971","13.2646222"
"Esso","102.096505","13.649987"
"Gas station","102.1031599","13.6392735"
"Gas station","102.4862404","13.6145089"
"Gas station","102.515693","13.6782358"
"PTT gas station.","102.5409297","13.6600192"
"Gas station","102.3808556","13.724168"
"Gas station","102.201592","13.6487089"
"Gas Station","102.4567537","13.8778006"
"Gas station","102.7646137","13.9783015"
"Gas station","102.4909797","13.7275745"
"Gas station","102.2747838","13.6348941"
"Gas station","102.2491367","13.5693417"
"Gas station","102.1708425","13.514348"
"Gas station","102.0764252","13.6681298"
"Gas station","102.5727115","13.7280886"
"Gas station","102.3109047","13.6590039"
"Gas station","102.357722","13.585046"
"Gas station","102.2296923","13.5990257"
"Gas station","102.2638971","13.2646222"
"Gas station","102.2019293","13.4424848"
"Gas station","103.9424163","15.5235758"
"Gas station","104.0157175","16.1136632"
"Gas station","104.0514445","16.0588051"
"Gas station","104.2420876","15.9349337"
"Gas station","103.5814869","15.7051716"
"Gas station","103.6531174","16.0794213"
"Gas station","103.9730647","16.0211523"
"Gas station","103.9293107","15.652932"
"Gas station","103.6045341","15.752657"
"Gas station","103.8502693","15.5690031"
"Gas station","103.9501285","16.0088684"
"Gas station","104.0302402","16.0869078"
"Gas station","103.9941979","15.6165265"
"Gas station","103.7115718","15.9469307"
"Gas station","104.1422529","15.816392"
"Gas station","103.9539783","16.0369875"
"Gas station","103.9642683","15.962557"
"Gas station","104.0813167","15.590478"
"Gas station","104.1138593","16.1253625"
"Gas station","104.0879045","16.0861337"
"Gas station","103.9424163","15.5235758"
"Gas station","103.4520334","15.5959628"
"PTT Gas Station","103.37025","15.8363898"
"Gas station","103.4031915","15.764412"
"Gas station","104.0157175","16.1136632"
"Gas station","103.4237146","15.9749389"
"Gas station","104.0514445","16.0588051"
"Gas station","103.513844","15.7748859"
"Gas station","103.6175524","15.4537125"
"Gas station","104.2420876","15.9349337"
"Gas station","103.8768391","15.4850991"
"Gas station","103.8314727","15.3858849"
"Gas station","103.4563987","15.9087777"
"Gas station","103.4481797","15.9322337"
"Gas station","103.5814869","15.7051716"
"Gas station","103.3665803","15.744085"
"Gas station","103.6531174","16.0794213"
"Gas station","103.5330573","15.7340398"
"Gas station","103.9730647","16.0211523"
"Gas station","103.9293107","15.652932"
"Gas station","103.9424163","15.5235758"
"Gas station","104.0157175","16.1136632"
"Gas station","104.0514445","16.0588051"
"Gas station","104.2420876","15.9349337"
"Gas station","103.5814869","15.7051716"
"Gas station","103.6531174","16.0794213"
"Gas station","103.9730647","16.0211523"
"Gas station","103.9293107","15.652932"
"Gas station","103.6045341","15.752657"
"Gas station","103.8502693","15.5690031"
"Gas station","103.9501285","16.0088684"
"Gas station","104.0302402","16.0869078"
"Gas station","103.9941979","15.6165265"
"Gas station","103.7115718","15.9469307"
"Gas station","104.1422529","15.816392"
"Gas station","103.9539783","16.0369875"
"Gas station","103.7472113","16.2692376"
"Gas station","103.7985017","16.2102843"
"Gas station","103.8456486","16.1845734"
"Gas station","103.9642683","15.962557"
"Gas station","104.0813167","15.590478"
"Gas station","104.1138593","16.1253625"
"Gas station","104.0879045","16.0861337"
"Gas station","103.8566991","15.7160672"
