"names","long","lat","Label","inout"
"PTT gas station.",100.2990146,17.6676893,"PTT",1
"PTT (Piboontham Panit Limited Partnership)",100.2974058,19.5600336,"PTT",1
"PTT Gas Station",100.2972462,18.31067,"PTT",1
"PTT (Sathit Service Registered Ordinary Partnership)",100.2959887,18.3088631,"PTT",1
"PTT Station บจก.มานะชัย รุ่งเรือง",100.2946481,13.6306634,"PTT",1
"PTT (ถนนเอกชัย-สมุทรสาคร)",100.2932007,13.560625,"PTT",1
"PTT",100.2926103,13.5308263,"PTT",1
"PTT gas station.",100.2902934,14.9397057,"PTT",1
"PTT",100.2879922,13.5703127,"PTT",1
"PTT",100.2864134,16.8190851,"PTT",1
"PTT (Sap Rungruang Petroleum Limited Partnership)",100.279675,16.81961,"PTT",1
"สน.ปตท. บริษัท พยงค์ปิโตรเลียม จำกัด",100.279628,16.81949,"PTT",1
"PTT gas station",100.2762191,17.5639889,"PTT",1
"PTT",100.2761078,14.7306909,"PTT",1
"PTT (Dumrong Oil Ltd.,Part",100.273011,16.685546,"PTT",1
"สน.ปตท. หจก. ทรัพย์รุ่งเรืองปิโตรเลียม PL",100.265127,16.827939,"PTT",1
"สน.ปตท. หจก.วัฒนาออยล์แอนด์เซอร์วิส(2)",100.264372,16.7853609,"PTT",1
"PTT",100.2611664,13.547268,"PTT",1
"PTT Gas Station, Singhawat Rd",100.2575049,16.8246567,"PTT",1
"สน.ปตท. หจก.วัฒนาออยล์แอนด์เซอร์วิส (1)",100.252267,16.803491,"PTT",1
"PTT",100.252212,16.803338,"PTT",1
"PTT",100.2486802,14.8342489,"PTT",1
"PTT gas station",100.2320464,17.4822649,"PTT",1
"Gas station PTT",100.2211154,16.7600035,"PTT",1
"PTT Petrol Station",100.2210506,13.5362038,"PTT",1
"PTT Gasolin",100.2093535,13.5322766,"PTT",1
"Pine. PTT LTD., Sun Gas.",100.2072151,16.774996,"PTT",1
"PTT Nong Pling Petroleum Limited Partnership",100.188481,15.652783,"PTT",1
"PTT (Chang Phinij Petroleum Limited Partnership)",100.1791535,16.7274414,"PTT",1
"PTT (Service Center Limited Partnership)",100.1722997,19.305795,"PTT",1
"PTT",100.1674269,13.5417399,"PTT",1
"PTT",100.1650351,15.3488176,"PTT",1
"PTT Gasoline",100.1642002,15.3490077,"PTT",1
"สน.ปตท. สาขาทุ่งกวาว",100.160307,18.154805,"PTT",1
"PTT Thung Kwao",100.1603063,18.154882,"PTT",1
"PTT Public Company Limited",100.1581323,15.6581184,"PTT",1
"สน.ปตท. หจก. ดอยปุยปิโตรเลียม",100.153806,19.690992,"PTT",1
"PTT Asia Service Limited Partnership",100.153235,15.373596,"PTT",1
"PTT (Phonkij Service Energy Co.,Ltd.)",100.1529738,18.1172568,"PTT",1
"ปั๊มน้ำมันPTT",100.1529299,18.1168988,"PTT",1
"PTT",100.1520102,17.656342,"PTT",1
"สน.ปตท. หจก. ศิรดาพาณิชย์ (2)",100.149272,19.847882,"PTT",1
"PTT (Sathit Service R.O.P)",100.148728,18.145994,"PTT",1
"สน.ปตท. หสน. สถิตบริการ(1)",100.1487278,18.1459996,"PTT",1
"PTT",100.1441614,13.5122864,"PTT",1
"สน.ปตท. หจก. พรหมประกอบปิโตรเลียม",100.142807,15.708095,"PTT",1
"PTT Noen Po",100.1404352,16.4016977,"PTT",1
"PTT",100.139712,18.134903,"PTT",1
"PTT gas station.",100.137751,15.1935265,"PTT",1
"ปั๊ม ปตท. PTT",100.1357225,19.3346897,"PTT",1
"สน.ปตท. หจก. เจ้าพระยาชัยนาทบริการ",100.130953,15.189949,"PTT",1
"PTT (Khwae Yai Industry Company Limited 1)",100.1289535,15.6316956,"PTT",1
"PTT Station",100.1272199,17.5965882,"PTT",1
"PTT (A Petroleum Limited Partnership)",100.1268105,18.134666,"PTT",1
"สน.ปตท. หจก.เอ ปิโตรเลียม",100.126624,18.134767,"PTT",1
"PTT gas station.",100.1260632,17.713607,"PTT",1
"PTT",100.123981,17.605201,"PTT",1
"PTT Station",100.1233073,15.752506,"PTT",1
"PTT",100.1210818,15.345114,"PTT",1
"NTK Petroleum Co, Ltd. PTT Station Office",100.1184129,15.8307183,"PTT",1
"PTT (Yothin Service Limited Partnership)",100.1150359,15.7039041,"PTT",1
"ปั๊มน้ำมันปตท.",100.113674,15.6898881,"PTT",1
"สน.ปตท. หจก. ศลโกสุม",100.113534,15.691821,"PTT",1
"PTT",100.110805,18.037175,"PTT",1
"PTT Life Station",100.1071292,17.5812337,"PTT",1
